id,text,team,wants_refund
t000,The dashboard shows a 500 error.,technical,false
t001,Good morning. do you offer discounts for nonprofits. Can you help?,sales,false
t002,"Hey, the tax on my bill looks wrong. I want my money back.",billing,true
t003,"Hey, I can't log in since the update. This is urgent.",technical,false
t004,Good morning. my invoice shows the wrong amount. Please look into it.,billing,false
t005,There is a fee on my statement I don't recognise. Please refund me.,billing,true
t006,"Hey, can I get a quote for 50 seats. Can you help?",sales,false
t007,Good morning. the tax on my bill looks wrong. Refund this now!,billing,true
t008,Good morning. can I get a quote for 50 seats.,sales,false
t009,What's the difference between pro and team. Can you help?,sales,false
t010,Do you offer discounts for nonprofits. This is urgent.,sales,false
t011,Good morning. what's the difference between pro and team. Any update?,sales,false
t012,"Hello team, password reset emails never arrive. Any update?",technical,false
t013,"Hi, exports are stuck at 99 percent. Please look into it.",technical,false
t014,"Hey, I need a copy of last month's invoice. Refund this now!",billing,true
t015,"Hi, I can't log in since the update. Give me a refund.",technical,true
t016,The dashboard shows a 500 error. Any update?,technical,false
t017,Good morning. do you offer discounts for nonprofits. This is urgent.,sales,false
t018,"Hey, password reset emails never arrive. This is urgent.",technical,false
t019,Can we talk about volume pricing.,sales,false
t020,Uploads time out after a minute.,technical,false
t021,Good morning. is there an annual pricing option. Please look into it.,sales,false
t022,"Hey, can we talk about volume pricing. Can you help?",sales,false
t023,"Hey, I want to upgrade my plan.",sales,false
t024,The dashboard shows a 500 error. Any update?,technical,false
t025,"Hey, I need a copy of last month's invoice. Please refund me.",billing,true
t026,"Hey, uploads time out after a minute. Give me a refund.",technical,true
t027,"Hey, is there an annual pricing option. Thanks.",sales,false
t028,"Hey, is there an annual pricing option. Please look into it.",sales,false
t029,The page is blank in Safari. Thanks.,technical,false
t030,Why did my card get billed again. Please refund me.,billing,true
t031,"Hi, the dashboard shows a 500 error.",technical,false
t032,"Hello team, notifications are delayed by hours. This is urgent.",technical,false
t033,The tax on my bill looks wrong. Please look into it.,billing,false
t034,"Hey, notifications are delayed by hours. Any update?",technical,false
t035,"Hi, update the card on my account please.",billing,false
t036,"Hello team, the payment failed but money left my account. I want my money back.",billing,true
t037,How much is the enterprise plan.,sales,false
t038,Can I get a quote for 50 seats. This is urgent.,sales,false
t039,Good morning. the app crashes when I open settings. Please refund me.,technical,true
t040,Good morning. the dashboard shows a 500 error. Can you help?,technical,false
t041,"Hey, uploads time out after a minute. Give me a refund.",technical,true
t042,Uploads time out after a minute. Thanks.,technical,false
t043,"Hello team, I want to upgrade my plan. Please look into it.",sales,false
t044,Good morning. the dashboard shows a 500 error. Thanks.,technical,false
t045,Good morning. the dashboard shows a 500 error.,technical,false
t046,Good morning. I can't log in since the update. Can you help?,technical,false
t047,Good morning. the dashboard shows a 500 error. Thanks.,technical,false
t048,"Hi, which plan includes SSO. Can you help?",sales,false
t049,"Hey, what's the difference between pro and team. Thanks.",sales,false
t050,Good morning. what's the difference between pro and team. Thanks.,sales,false
t051,"Hello team, password reset emails never arrive.",technical,false
t052,"Hello team, sync stopped working on my phone. This is urgent.",technical,false
t053,Password reset emails never arrive. Can you help?,technical,false
t054,"Hello team, my invoice shows the wrong amount. Please refund me.",billing,true
t055,Update the card on my account please. This is urgent.,billing,false
t056,Password reset emails never arrive.,technical,false
